# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.990770 eV
#    Energy (eV)      DOS 
        -13.57122998          0.00006108
        -13.56922998          0.00007306
        -13.56722998          0.00008724
        -13.56522998          0.00010402
        -13.56322998          0.00012383
        -13.56122998          0.00014717
        -13.55922998          0.00017464
        -13.55722998          0.00020689
        -13.55522998          0.00024472
        -13.55322998          0.00028900
        -13.55122998          0.00034075
        -13.54922998          0.00040112
        -13.54722998          0.00047144
        -13.54522998          0.00055321
        -13.54322998          0.00064811
        -13.54122998          0.00075810
        -13.53922998          0.00088533
        -13.53722998          0.00103227
        -13.53522998          0.00120169
        -13.53322998          0.00139668
        -13.53122998          0.00162073
        -13.52922998          0.00187772
        -13.52722998          0.00217202
        -13.52522998          0.00250844
        -13.52322998          0.00289237
        -13.52122998          0.00332976
        -13.51922998          0.00382721
        -13.51722998          0.00439199
        -13.51522998          0.00503212
        -13.51322998          0.00575641
        -13.51122998          0.00657451
        -13.50922998          0.00749698
        -13.50722998          0.00853534
        -13.50522998          0.00970215
        -13.50322998          0.01101101
        -13.50122998          0.01247670
        -13.49922998          0.01411515
        -13.49722998          0.01594357
        -13.49522998          0.01798042
        -13.49322998          0.02024553
        -13.49122998          0.02276009
        -13.48922998          0.02554671
        -13.48722998          0.02862944
        -13.48522998          0.03203378
        -13.48322998          0.03578670
        -13.48122998          0.03991666
        -13.47922998          0.04445355
        -13.47722998          0.04942871
        -13.47522998          0.05487488
        -13.47322998          0.06082616
        -13.47122998          0.06731790
        -13.46922998          0.07438670
        -13.46722998          0.08207022
        -13.46522998          0.09040714
        -13.46322998          0.09943696
        -13.46122998          0.10919992
        -13.45922998          0.11973676
        -13.45722998          0.13108858
        -13.45522998          0.14329663
        -13.45322998          0.15640205
        -13.45122998          0.17044568
        -13.44922998          0.18546776
        -13.44722998          0.20150770
        -13.44522998          0.21860379
        -13.44322998          0.23679289
        -13.44122998          0.25611015
        -13.43922998          0.27658870
        -13.43722998          0.29825935
        -13.43522998          0.32115027
        -13.43322998          0.34528671
        -13.43122998          0.37069066
        -13.42922998          0.39738060
        -13.42722998          0.42537122
        -13.42522998          0.45467315
        -13.42322998          0.48529271
        -13.42122998          0.51723174
        -13.41922998          0.55048736
        -13.41722998          0.58505184
        -13.41522998          0.62091246
        -13.41322998          0.65805146
        -13.41122998          0.69644591
        -13.40922998          0.73606779
        -13.40722998          0.77688393
        -13.40522998          0.81885613
        -13.40322998          0.86194127
        -13.40122998          0.90609144
        -13.39922998          0.95125416
        -13.39722998          0.99737257
        -13.39522998          1.04438576
        -13.39322998          1.09222904
        -13.39122998          1.14083428
        -13.38922998          1.19013028
        -13.38722998          1.24004316
        -13.38522998          1.29049679
        -13.38322998          1.34141320
        -13.38122998          1.39271299
        -13.37922998          1.44431583
        -13.37722998          1.49614084
        -13.37522998          1.54810704
        -13.37322998          1.60013379
        -13.37122998          1.65214115
        -13.36922998          1.70405026
        -13.36722998          1.75578373
        -13.36522998          1.80726587
        -13.36322998          1.85842305
        -13.36122998          1.90918386
        -13.35922998          1.95947934
        -13.35722998          2.00924311
        -13.35522998          2.05841147
        -13.35322998          2.10692344
        -13.35122998          2.15472076
        -13.34922998          2.20174786
        -13.34722998          2.24795175
        -13.34522998          2.29328190
        -13.34322998          2.33769009
        -13.34122998          2.38113021
        -13.33922998          2.42355801
        -13.33722998          2.46493089
        -13.33522998          2.50520762
        -13.33322998          2.54434807
        -13.33122998          2.58231297
        -13.32922998          2.61906362
        -13.32722998          2.65456166
        -13.32522998          2.68876879
        -13.32322998          2.72164664
        -13.32122998          2.75315652
        -13.31922998          2.78325933
        -13.31722998          2.81191544
        -13.31522998          2.83908462
        -13.31322998          2.86472607
        -13.31122998          2.88879843
        -13.30922998          2.91125988
        -13.30722998          2.93206827
        -13.30522998          2.95118135
        -13.30322998          2.96855696
        -13.30122998          2.98415336
        -13.29922998          2.99792950
        -13.29722998          3.00984543
        -13.29522998          3.01986266
        -13.29322998          3.02794459
        -13.29122998          3.03405690
        -13.28922998          3.03816806
        -13.28722998          3.04024971
        -13.28522998          3.04027711
        -13.28322998          3.03822960
        -13.28122998          3.03409095
        -13.27922998          3.02784978
        -13.27722998          3.01949988
        -13.27522998          3.00904049
        -13.27322998          2.99647660
        -13.27122998          2.98181914
        -13.26922998          2.96508509
        -13.26722998          2.94629762
        -13.26522998          2.92548608
        -13.26322998          2.90268601
        -13.26122998          2.87793899
        -13.25922998          2.85129257
        -13.25722998          2.82279996
        -13.25522998          2.79251986
        -13.25322998          2.76051607
        -13.25122998          2.72685717
        -13.24922998          2.69161607
        -13.24722998          2.65486965
        -13.24522998          2.61669818
